,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output96Cp520_ICE6G_Wael_T,153,-33.92486037628811,8.488165452779537,9.959371383736148,3.651033897507114e-06,5.391435623261111e-13,0.0,True,log,2e+22,5e+20,96,ICE6G,Wael,T,False
output96Cp33_ICE6G_Wael_S,154,-33.99079894214333,7.514734520100614,10.025309949591367,3.418055496897671e-06,6.528295204930622e-13,0.0,True,log,3e+21,3e+20,96,ICE6G,Wael,S,False
output71Cp310_Colleoni_Wael_T,155,-34.02634536374791,11.607363843184466,10.060856371195946,3.298689932881732e-06,6.186102643642412e-13,0.0,True,log,1e+22,3e+20,71,Colleoni,Wael,T,False
output48Cp33_Colleoni_Wael_T,156,-34.08679728595392,7.779629691583899,10.12130829340196,3.1051855666285517e-06,4.054480222049604e-13,0.0,True,log,3e+21,3e+20,48,Colleoni,Wael,T,False
output48Cp35_Lambeck_Wael_T,157,-34.09943761026852,8.72684581900107,10.133948617716555,3.066182041933524e-06,1.3544512977718996e-13,0.0,True,log,5e+21,3e+20,48,Lambeck,Wael,T,False
output48Cp520_Lambeck_Wael_T,158,-34.14013774860442,8.569808968824866,10.174648756052456,2.943893470025574e-06,2.5891374408256214e-13,0.0,True,log,2e+22,5e+20,48,Lambeck,Wael,T,False
output96Cp57_ICE6G_Wael_T,159,-34.20297027232397,8.217258821391201,10.237481279772005,2.7646125291707354e-06,1.008099418386949e-12,0.0,True,log,7e+21,5e+20,96,ICE6G,Wael,T,False
output48Cp57_Colleoni_Wael_T,160,-34.31007095336699,8.46464045675216,10.344581960815027,2.4838252466246946e-06,3.94789926497572e-13,0.0,True,log,7e+21,5e+20,48,Colleoni,Wael,T,False
output96Cp530_ICE6G_Wael_T,161,-34.32146591975691,8.892618262140385,10.35597692720495,2.4556827871241746e-06,3.3308929346836877e-13,0.0,True,log,3e+22,5e+20,96,ICE6G,Wael,T,False
output96Cp320_ICE6G_Wael_T,162,-34.37534112185835,8.593135520824355,10.409852129306387,2.326883087905551e-06,8.819500474425061e-13,0.0,True,log,2e+22,3e+20,96,ICE6G,Wael,T,False
output48Cp520_Colleoni_Wael_T,163,-34.42323754952609,8.774335609138788,10.457748556974131,2.2180606074757995e-06,5.724250753296871e-13,0.0,True,log,2e+22,5e+20,48,Colleoni,Wael,T,False
output48Cp37_Lambeck_Wael_T,164,-34.43908168801668,9.571450794123816,10.473592695464717,2.1831942907963058e-06,5.19134492228815e-13,0.0,True,log,7e+21,3e+20,48,Lambeck,Wael,T,False
output48Cp55_Lambeck_Wael_T,165,-34.4760923927624,8.202487780829859,10.510603400210442,2.1038697153598368e-06,3.654943877164642e-13,0.0,True,log,5e+21,5e+20,48,Lambeck,Wael,T,False
output71Cp530_Colleoni_Wael_T,166,-34.50698866846642,10.53630825886168,10.541499675914459,2.039861870239357e-06,4.982593477465136e-13,0.0,True,log,3e+22,5e+20,71,Colleoni,Wael,T,False
output48Cp33_Lambeck_Wael_T,167,-34.62539051095445,8.471235101611299,10.659901518402492,1.8120888713348941e-06,4.4010105922193384e-13,0.0,True,log,3e+21,3e+20,48,Lambeck,Wael,T,False
output48Cp35_ICE6G_Wael_S,168,-34.68828865229731,8.533276500648341,10.722799659745348,1.7016223356236256e-06,2.8022982615113936e-13,0.0,True,log,5e+21,3e+20,48,ICE6G,Wael,S,False
output96Cp310_ICE6G_Wael_T,169,-34.71827114676349,8.810047802942975,10.75278215421153,1.6513607030899359e-06,6.101972477732801e-13,0.0,True,log,1e+22,3e+20,96,ICE6G,Wael,T,False
output71Cp320_ICE6G_Wael_T,170,-34.83299241508684,8.970946411333536,10.867503422534881,1.4723773631334973e-06,2.988672106170575e-13,0.0,True,log,2e+22,3e+20,71,ICE6G,Wael,T,False
output96Cp55_ICE6G_Wael_T,171,-34.891610867714,8.763825913849587,10.926121875162039,1.3885498034506074e-06,5.479968432150487e-13,0.0,True,log,5e+21,5e+20,96,ICE6G,Wael,T,False
output96Cp510_ICE6G_Wael_T,172,-34.936931425471236,9.244928003656028,10.971442432919275,1.3270246592620304e-06,4.609847177389295e-13,0.0,True,log,1e+22,5e+20,96,ICE6G,Wael,T,False
output71Cp37_ICE6G_Wael_T,173,-34.93711858671977,8.734521104989678,10.971629594167808,1.3267763149109204e-06,2.851006132075999e-13,0.0,True,log,7e+21,3e+20,71,ICE6G,Wael,T,False
output96Cp33_ICE6G_Wael_T,174,-34.97582203008073,8.8861192102454,11.010333037528767,1.2764065324537381e-06,9.157291352082813e-13,0.0,True,log,3e+21,3e+20,96,ICE6G,Wael,T,False
output48Cp57_Lambeck_Wael_T,175,-34.97900229992861,9.183834047639408,11.013513307376648,1.2723536632696928e-06,3.690470834647012e-13,0.0,True,log,7e+21,5e+20,48,Lambeck,Wael,T,False
output71Cp35_ICE6G_Wael_T,176,-34.99081965078509,8.595662806593165,11.02533065823313,1.2574063066453138e-06,1.3812377841387403e-13,0.0,True,log,5e+21,3e+20,71,ICE6G,Wael,T,False
output48Cp330_ICE6G_Wael_T,177,-35.124001609166946,8.163871113278741,11.158512616614985,1.1006150437118183e-06,4.3031692092107155e-13,0.0,True,log,3e+22,3e+20,48,ICE6G,Wael,T,False
